Concept	PROP_W	TOTAL_GEN_FREQ
[men/male/women/female] anthropologist	0.7275261324041812	4305
[men/male/women/female] miller	0.7181467181467182	259
[men/male/women/female] mime	0.7631578947368421	304
[men/male/women/female] apothecary	0.6411764705882353	170
[men/male/women/female] miner	0.7039034411915768	3894
[men/male/women/female] trooper	0.7863157894736842	950
[men/male/women/female] dramatist	0.921086126431905	4714
[men/male/women/female] truck driver	0.6042600896860987	892
[men/male/women/female] minstrel	0.8452554744525548	685
[men/male/women/female] dressmaker	0.8020304568527918	394
[men/male/women/female] trumpeter	0.6071428571428571	140
[men/male/women/female] driver	0.6023340231366828	29477
[men/male/women/female] archaeologist	0.8296495956873315	1855
[men/male/women/female] archeologist	0.6888888888888889	270
[men/male/women/female] archer	0.8614318706697459	1299
[men/male/women/female] architect	0.8649062831545444	8483
[men/male/women/female] missionary	0.8393618701626915	18993
[men/male/women/female] arbitrator	0.7727272727272727	242
[men/male/women/female] drummer	0.7206867671691792	2388
[men/male/women/female] typist	0.8882035466461063	1297
[men/male/women/female] rabbi	0.8358458961474037	3582
[men/male/women/female] umpire	0.8567901234567902	405
[men/male/women/female] duller	0.8448415922014623	1231
[men/male/women/female] racer	0.8292919495635306	1031
[men/male/women/female] radiologist	0.7411167512690355	197
[men/male/women/female] monitor	0.805699481865285	386
[men/male/women/female] undertaker	0.6981132075471698	159
[men/male/women/female] art teacher	0.6483516483516484	182
[men/male/women/female] rancher	0.8096192384769539	499
[men/male/women/female] artisan	0.6006359300476948	3145
[men/male/women/female] artist	0.8376947065344829	125381
[men/male/women/female] rapper	0.7462415331240707	6053
[men/male/women/female] university professor	0.6529774127310062	487
[men/male/women/female] university teacher	0.8425925925925926	324
[men/male/women/female] economist	0.8528099910793934	2242
[men/male/women/female] editor	0.6323898653275508	8762
[men/male/women/female] assistant	0.6920633151265188	17942
[men/male/women/female] educator	0.8159682173523004	7803
[men/male/women/female] reader	0.7657762545131076	76444
[men/male/women/female] astronaut	0.8454810495626822	6517
[men/male/women/female] astronomer	0.8716723549488055	1465
[men/male/women/female] athletic director	0.62004662004662	429
[men/male/women/female] motorcyclist	0.6977491961414791	622
[men/male/women/female] receiver	0.6365313653136532	542
[men/male/women/female] electrician	0.6700819672131147	488
[men/male/women/female] receptionist	0.6279000594883998	3362
[men/male/women/female] usher	0.6395759717314488	849
[men/male/women/female] attendant	0.7238009426115886	28856
[men/male/women/female] mover	0.6885714285714286	350
[men/male/women/female] attorney	0.7908182503770739	10608
[men/male/women/female] recruiter	0.6801872074882995	641
[men/male/women/female] embroiderer	0.7097457627118644	472
