ROLE NOUN	TOTAL	2000	2001	2002	2003	2004	2005	2006	2007	2008
juror	20246	473	512	546	602	682	710	681	770	791
juror	2860	56	53	75	74	103	108	84	81	134
juror	18523	550	550	537	701	876	1052	809	704	902
juror	946	47	29	57	53	59	73	67	58	37
juror	3205	67	68	91	140	132	100	110	90	131
juror	49785	1657	1765	2162	2435	2920	3199	2815	2433	2437
juror	13597	397	385	495	531	606	611	598	488	584
juror	66403	1318	1422	1480	1542	1868	1816	1822	1585	2237
juror	69	0	1	0	2	1	1	0	4	10
door keeper	12	0	0	0	0	0	0	0	0	0
door keeper	22	0	0	0	0	0	2	0	0	0
door keeper	13	0	0	0	0	0	1	0	0	1
door keeper	57	0	0	0	0	1	0	2	0	5
door keeper	46	3	0	3	3	0	1	1	0	1
door keeper	16	0	0	1	2	0	0	1	0	0
door keeper	26	2	1	0	1	1	0	1	1	2
lighthouse keeper	31	0	0	3	1	0	0	0	0	4
lighthouse keeper	58	1	1	1	1	2	1	2	1	1
lighthouse keeper	121	2	2	13	0	7	4	1	9	2
lighthouse keeper	34	0	0	0	2	0	3	3	3	1
lighthouse keeper	37	1	0	1	2	2	3	1	2	2
lighthouse keeper	278	4	7	15	9	12	7	14	24	8
lighthouse keeper	11	0	1	0	0	0	0	2	0	0
door keeper	13	0	0	0	0	0	0	0	0	0
door keeper	10	0	1	0	0	0	0	0	0	0
door keeper	111	0	5	3	1	0	2	5	0	4
door keeper	21	0	1	0	1	0	0	0	0	0
door keeper	10	0	0	0	0	0	0	0	0	1
door keeper	10	0	0	0	0	1	1	2	1	0
door keeper	30	2	0	4	0	0	0	0	1	0
lighthouse keeper	52	0	2	0	1	0	0	0	2	0
lighthouse keeper	65	2	2	10	6	1	3	2	0	2
lighthouse keeper	446	6	6	9	12	13	15	9	20	20
lighthouse keeper	12	0	0	1	0	1	0	0	0	0
lighthouse keeper	66	3	2	4	12	2	4	5	2	1
lighthouse keeper	377	9	21	19	18	32	16	16	26	18
lighthouse keeper	60	3	3	4	3	3	4	2	5	3
lighthouse keeper	492	10	15	25	36	26	32	21	32	23
killer	80	2	1	6	6	1	4	2	5	1
killer	186	2	11	11	20	24	25	22	13	12
killer	47	2	3	1	2	6	2	3	1	3
killer	1480	63	77	102	85	103	126	67	95	67
killer	610	17	22	18	49	23	42	31	20	26
killer	1197	38	59	73	104	103	130	107	130	75
killer	26	0	0	6	1	3	1	1	3	1
killer	7735	311	277	339	352	360	348	357	324	284
killer	17603	557	565	625	765	792	759	920	769	637
killer	3376	137	134	178	191	178	207	210	158	131
killer	23	0	0	1	4	2	0	1	2	1
killer	285837	13086	13882	16086	16451	16660	16283	16778	15599	12858
killer	2694	112	121	157	180	165	136	177	137	114
killer	199	5	2	6	14	8	9	13	10	9
killer	4634	244	226	215	241	250	261	293	251	236
killer	32	0	1	1	2	2	0	4	0	0
killer	87	4	0	6	6	8	4	5	4	1
killer	36	0	0	0	1	0	0	0	0	1
serial killer	77	7	3	6	11	5	9	6	4	9
serial killer	16	0	1	1	0	3	1	4	1	2
serial killer	208	10	12	16	15	25	20	21	17	22
serial killer	164	14	25	7	11	17	8	12	11	16
serial killer	264	22	17	34	24	24	23	23	26	28
serial killer	120	8	8	8	17	13	12	19	6	6
serial killer	573	42	49	42	46	61	39	54	52	46
serial killer	158	7	5	12	8	18	12	11	22	12
serial killer	25	2	6	2	0	2	1	2	0	1
serial killer	12	0	0	1	2	0	0	4	3	1
killer	35	0	1	0	1	1	0	1	4	0
killer	358	5	4	21	28	22	21	14	17	13
killer	9469	363	418	477	525	546	544	506	553	423
killer	13	2	2	0	0	0	0	0	0	0
killer	10514	427	451	472	626	639	653	658	624	487
killer	2688	117	88	113	138	123	124	124	134	109
killer	7178	278	278	390	374	416	411	417	413	355
killer	139	6	5	4	5	4	12	7	7	15
killer	1852	109	100	117	141	114	133	115	147	113
killer	6356	232	261	329	442	354	352	368	385	310
killer	1026	51	45	33	51	24	37	51	36	40
killer	12793	502	498	635	820	698	712	686	733	530
killer	71	1	1	2	0	0	2	3	2	4
serial killer	20	0	6	8	2	1	0	2	0	0
serial killer	156	8	34	28	16	9	6	13	10	10
serial killer	430	33	21	33	27	42	41	38	42	47
serial killer	110	12	16	8	17	7	10	10	7	8
serial killer	118	2	7	10	6	8	20	8	9	7
serial killer	234	9	24	21	17	22	12	13	30	21
serial killer	2187	137	117	178	202	178	180	225	213	208
serial killer	233	14	27	11	20	20	14	34	9	17
serial killer	236	22	12	8	24	22	18	38	37	17
serial killer	119	8	8	7	15	10	13	5	10	5
serial killer	164	7	13	19	15	6	12	20	15	16
serial killer	1614	117	78	122	137	151	149	178	132	111
serial killer	82	5	7	4	12	10	11	6	2	6
serial killer	1031	78	71	56	98	96	117	84	88	82
serial killer	19	4	1	3	0	0	4	2	1	0
serial killer	1369	95	72	95	136	156	125	132	106	130
serial killer	203	16	13	10	16	10	39	12	12	18
serial killer	5422	348	343	426	470	493	538	480	472	407
serial killer	13	0	2	3	0	0	1	2	2	2
knitter	69	4	3	3	3	3	10	3	2	1
knitter	37	0	0	0	0	1	5	2	6	1
knitter	491	6	15	9	16	7	19	15	15	27
knitter	271	10	7	11	20	11	21	9	18	24
knitter	25	0	0	0	0	2	1	0	4	1
knitter	637	20	14	47	22	21	36	35	38	47
knitter	600	36	30	17	21	19	41	44	54	16
knitter	11	1	1	1	0	1	0	2	2	0
knitter	78	0	3	3	0	1	17	6	8	4
knitter	21	0	0	0	0	0	0	0	0	0
knitter	55	0	0	0	1	1	2	1	4	0
knitter	124	0	0	4	4	3	9	4	16	9
knitter	1473	13	22	42	33	26	52	56	48	46
knitter	194	5	0	4	2	14	9	3	8	8
knitter	261	4	3	7	16	13	13	10	35	17
knitter	146	3	2	2	9	2	2	3	11	14
knitter	1002	34	32	48	45	45	66	46	182	79
knitter	79	0	1	1	0	4	2	2	19	3
knitter	1202	15	22	37	59	36	76	44	152	40
lawyer	1739	63	28	17	32	28	47	37	22	25
lawyer	109	4	5	1	1	7	1	2	2	1
lawyer	763	20	20	19	20	25	10	24	27	31
lawyer	2113	57	46	48	74	69	72	75	61	106
lawyer	42416	321	313	344	377	411	410	590	341	526
lawyer	1481	32	36	43	40	75	62	60	66	78
lawyer	300	5	3	10	7	17	15	18	15	25
lawyer	85325	1910	1860	2024	2418	2796	2427	2589	2764	2752
lawyer	62148	1375	1392	1523	1821	1968	1867	1849	1985	2295
lawyer	7203	149	158	244	242	283	294	253	316	313
lawyer	71	4	4	4	1	4	7	1	2	3
lawyer	209731	6250	6844	7573	8202	9507	10449	9948	8876	8484
lawyer	10937	393	354	422	385	479	539	490	398	440
lawyer	1057	53	41	16	17	27	27	26	18	22
lawyer	45	2	0	2	2	2	2	0	3	3
lawyer	17985	455	449	463	561	559	808	678	679	706
lawyer	686	21	10	15	18	21	23	21	41	33
lawyer	143	3	5	1	5	6	5	3	6	5
lawyer	15	1	0	0	0	2	0	0	0	0
lawyer	16	0	1	0	2	0	1	1	4	0
lawyer	1045	19	18	17	18	25	35	18	44	12
lawyer	12	0	0	0	0	0	0	0	0	2
lawyer	11	0	1	1	0	0	0	0	0	1
lawyer	12924	274	278	351	395	423	331	374	352	428
lawyer	39701	861	965	933	1098	1290	1355	1176	1195	1335
lawyer	35	1	0	2	3	1	2	1	2	1
lawyer	22	0	1	0	2	1	2	0	0	0
lawyer	384141	9749	9875	11148	12459	13153	12864	12427	12455	12731
lawyer	22617	588	607	724	720	815	892	888	881	855
lawyer	62233	1815	1885	2202	2607	2869	2793	2659	2830	2438
lawyer	2145	87	79	101	130	125	107	112	108	96
lawyer	19493	677	673	780	773	901	903	806	1117	654
lawyer	236648	7499	7413	8501	9872	10699	10580	9674	9740	9468
lawyer	27416	786	825	921	1049	1198	1173	1164	1024	950
lawyer	272564	6523	7322	7833	9121	9889	10349	10004	9581	9400
lawyer	130	1	1	5	3	5	0	1	6	11
leader	11	1	1	0	0	0	0	0	0	0
leader	10	0	0	0	2	0	0	2	0	0
leader	993	12	8	13	152	127	14	10	7	12
leader	1247	32	27	40	24	36	36	51	54	36
leader	836	12	18	14	13	36	22	27	40	42
leader	1502	55	50	52	62	82	55	63	59	53
leader	7216	140	156	146	194	170	216	147	173	202
leader	22057	493	416	459	512	684	641	608	881	965
leader	212	6	7	7	7	14	7	11	13	24
leader	130121	3125	2870	3700	4070	4536	4336	4376	4593	5867
leader	126435	3283	3004	3609	4502	5199	4792	4446	4874	4649
leader	16909	466	480	531	622	790	707	668	680	759
leader	134	8	2	6	6	0	3	1	7	6
leader	20	0	1	1	0	0	0	1	0	1
leader	710771	24529	24983	28244	30533	33942	32633	31901	31184	26430
leader	16673	398	446	509	589	744	597	674	611	667
leader	1709	52	34	39	50	55	67	56	61	68
leader	14	0	0	0	0	0	0	0	0	1
leader	74	0	5	4	3	1	8	2	0	2
leader	127405	3295	3033	3391	3743	4366	4436	4364	4600	4485
leader	370	8	10	14	8	26	8	13	13	22
leader	4807	116	95	85	115	125	110	125	120	120
leader	156	3	2	4	4	3	4	2	2	5
leader	24	1	0	0	0	7	0	0	0	4
leader	38	0	1	1	0	10	2	3	8	3
leader	45	2	0	0	4	0	0	0	0	0
leader	28	1	2	2	1	4	2	0	3	1
leader	10	0	0	0	0	0	0	1	0	0
leader	10	2	3	0	1	0	0	0	0	0
leader	33	0	2	3	3	4	2	0	2	1
leader	20	0	0	1	1	2	1	2	1	2
leader	31	2	1	3	1	4	4	2	1	5
leader	18	0	1	2	0	1	6	0	2	2
leader	11	4	0	0	0	0	0	0	0	0
leader	984	15	26	23	22	53	33	12	16	19
leader	72	0	0	0	5	2	0	1	1	1
leader	76	2	7	9	11	4	1	1	2	6
leader	3132	66	100	90	114	102	138	111	87	112
leader	86303	2132	2232	2487	3253	3181	3287	3295	3380	3068
leader	50	1	0	6	3	4	2	1	2	7
leader	16	1	0	0	0	1	5	2	1	1
leader	211714	5721	5825	6882	8085	8375	8496	8571	9229	8430
leader	90453	2338	2363	2739	3073	3180	3251	3203	3446	3086
leader	118546	3320	3500	4082	4770	5122	5401	5555	6008	5419
leader	3544	109	116	169	218	186	182	228	240	194
leader	64818	2028	2012	2359	2782	2685	2841	2900	2873	2352
leader	427007	14977	17619	20669	25303	26031	28897	28580	28817	26019
leader	47944	1255	1495	1771	2216	2180	2513	2203	2430	2089
leader	11	4	0	0	0	0	0	2	0	0
leader	19	0	1	0	0	2	0	1	1	0
leader	381857	9539	10630	11916	13891	14801	15843	15792	16547	14797
leader	76	5	2	0	6	0	4	1	4	5
leader	1301	29	28	50	65	50	62	43	50	41
librarian	531	0	7	6	6	5	2	12	7	8
librarian	459	3	7	7	3	8	5	12	9	21
librarian	111	3	0	2	7	3	1	0	2	0
librarian	567	9	8	11	6	18	5	15	13	12
librarian	11596	162	160	135	153	116	127	231	119	190
librarian	3835	35	30	30	50	53	30	40	82	122
librarian	19	0	2	1	0	2	1	1	1	1
librarian	26533	463	519	497	604	556	549	655	611	644
librarian	9389	137	174	259	175	201	190	183	331	171
librarian	5846	73	55	66	74	97	81	121	87	173
librarian	32770	905	874	991	1331	1140	1111	1251	1252	1098
librarian	3869	115	40	54	147	647	164	48	92	75
librarian	340	7	1	2	3	20	9	2	8	10
librarian	17	0	0	1	1	1	0	0	0	1
librarian	19376	262	232	219	325	258	297	310	360	547
librarian	102	4	1	0	2	7	5	3	1	2
librarian	1976	15	22	9	12	21	18	17	19	70
librarian	122	1	2	2	2	0	1	2	1	0
librarian	86	0	13	1	0	2	1	0	0	2
librarian	227	24	0	0	25	2	0	2	1	1
librarian	32	1	0	0	3	0	2	2	0	0
librarian	10	0	0	0	2	0	2	0	0	0
librarian	419	3	3	1	3	3	5	6	2	6
librarian	1397	30	23	54	52	26	22	38	31	31
librarian	2669	71	46	77	80	60	48	64	62	73
librarian	16	0	0	0	0	0	0	0	2	0
librarian	69050	1871	1755	1856	2223	1878	1968	1956	1973	1591
librarian	5052	156	127	155	190	163	162	101	162	112
librarian	15228	398	375	409	507	350	384	343	342	254
librarian	996	28	35	30	45	32	31	24	29	17
librarian	3570	98	92	62	108	103	75	74	113	64
librarian	107324	3427	3084	3561	3688	2966	3276	2669	3231	2419
librarian	10289	287	192	251	340	253	271	244	226	186
librarian	86148	1972	1629	1771	2190	2336	3346	2195	1914	1626
librarian	58	1	0	0	0	3	2	1	1	0
lieutenant	1908	13	29	12	28	87	30	17	21	67
lieutenant	1119	8	11	13	17	20	17	11	32	58
lieutenant	1899	79	44	63	96	86	107	77	122	142
lieutenant	1769	54	43	41	51	69	45	50	61	79
lieutenant	42262	900	628	888	987	1054	1101	1092	1201	1692
lieutenant	17233	781	513	654	757	802	735	673	844	1030
lieutenant	2928	108	95	163	136	173	140	131	175	234
lieutenant	24051	459	551	535	558	680	604	743	709	1215
lieutenant	821522	7083	7796	7460	7888	12011	8919	16725	14499	28745
lieutenant	52298	1887	1577	2190	2522	2515	2288	2596	2507	2768
lieutenant	201	4	2	4	0	0	2	16	3	6
lieutenant	366944	9245	10470	10877	10993	11866	11637	12802	12117	11549
lieutenant	16581	578	444	658	798	839	777	812	815	1034
lieutenant	1431	35	37	34	37	51	41	46	52	62
lieutenant	22	0	0	0	0	1	1	0	0	1
lieutenant	48	1	2	1	2	1	3	4	2	6
lieutenant	51986	783	963	1128	1111	1406	1398	1779	1398	2019
lieutenant	378	16	6	17	15	26	26	16	30	17
lieutenant	5979	243	198	359	394	415	406	363	379	352
lieutenant	4086	113	80	108	133	124	125	148	152	165
lieutenant	10	1	0	0	0	0	2	0	0	0
lieutenant	424	0	0	1	12	4	3	5	7	13
lieutenant	30	0	2	1	0	0	0	1	4	8
lieutenant	1222	4	10	6	16	13	13	15	37	43
lieutenant	2038	35	40	37	58	67	57	40	66	80
lieutenant	18930	285	307	312	410	469	408	467	517	807
lieutenant	4433	68	62	52	43	88	60	116	108	175
lieutenant	3296	38	61	83	72	90	90	87	92	137
lieutenant	38	1	4	2	2	0	1	1	1	2
lieutenant	8711	135	160	154	174	228	206	240	231	368
lieutenant	4101	78	98	101	115	145	141	147	141	171
lieutenant	900	11	21	21	5	28	27	26	18	40
lieutenant	11732	173	200	194	254	263	291	332	363	491
lieutenant	62	1	0	1	1	1	0	2	4	2
lifeguard	44	0	3	8	4	2	3	2	0	0
lifeguard	39	3	2	1	7	2	3	1	0	2
lifeguard	145	31	2	6	1	17	5	2	1	3
lifeguard	14	0	1	0	0	2	0	0	1	0
lifeguard	765	68	20	36	40	46	37	41	42	41
lifeguard	510	14	10	26	22	33	22	37	24	32
lifeguard	179	4	7	11	8	8	20	12	9	1
lifeguard	6499	280	218	236	394	432	610	367	588	390
lifeguard	260	9	8	4	14	14	15	12	19	12
lifeguard	26	2	0	1	2	3	2	0	0	1
lifeguard	755	18	34	32	31	44	62	45	35	27
lifeguard	137	14	1	9	4	0	1	4	1	2
lifeguard	210	5	8	15	16	9	14	17	23	13
lifeguard	1772	114	45	77	122	102	108	125	113	92
lifeguard	199	25	6	6	11	13	4	9	12	6
lifeguard	750	38	39	41	41	52	53	61	47	24
lifeguard	21	3	1	0	3	0	4	0	3	1
lifeguard	236	22	6	11	21	14	22	9	23	16
lifeguard	2728	133	135	125	137	171	234	196	233	113
lifeguard	386	3	10	24	16	18	50	20	20	13
lifeguard	2704	115	120	110	119	189	224	157	154	135
weight lifter	11	0	0	5	1	0	0	1	1	0
weight lifter	18	1	2	3	1	0	1	2	0	1
weight lifter	29	0	1	0	0	3	3	1	0	3
weight lifter	221	6	6	9	10	8	20	13	13	3
weight lifter	15	0	0	0	0	0	0	0	0	0
weight lifter	11	0	1	0	1	0	1	0	0	1
weight lifter	11	0	0	0	0	1	1	0	0	0
weight lifter	24	0	0	1	3	0	1	1	2	0
weight lifter	368	30	18	17	9	11	15	17	21	10
weight lifter	30	1	1	1	0	0	0	2	2	0
weight lifter	41	2	0	3	0	0	4	0	3	1
weight lifter	60	1	3	0	3	3	4	4	1	1
weight lifter	1410	63	59	60	82	107	83	72	86	33
weight lifter	66	5	2	9	2	1	3	4	4	1
weight lifter	66	1	2	9	4	1	4	3	5	1
weight lifter	476	21	29	39	23	19	18	22	23	14
weight lifter	24	2	0	0	0	2	0	0	1	0
weight lifter	1460	75	68	69	63	78	56	74	79	50
chocolate lover	11	0	3	3	0	2	0	0	1	0
chocolate lover	26	0	0	0	1	2	10	0	1	0
chocolate lover	37	1	2	3	2	2	5	0	9	1
chocolate lover	220	8	8	13	19	7	25	14	19	12
chocolate lover	25	1	0	1	4	1	0	0	0	0
chocolate lover	280	14	19	19	15	21	20	17	19	24
magician	41	1	0	0	1	1	2	6	0	1
magician	21	0	1	0	0	2	0	0	1	2
magician	66	0	2	1	4	2	3	0	3	6
magician	238	10	7	9	13	11	9	8	7	11
magician	1090	16	17	22	45	45	22	26	43	25
magician	251	9	6	6	5	12	9	7	7	8
magician	17	0	0	2	0	1	0	0	1	2
magician	14107	325	302	343	459	480	418	454	453	484
magician	4119	94	96	125	172	145	110	155	126	196
magician	1194	34	33	36	41	48	43	59	45	59
magician	19731	462	492	563	780	835	759	875	786	865
magician	1260	58	25	14	50	42	25	59	27	29
magician	62	1	4	1	1	8	0	7	1	3
magician	5250	127	164	117	181	164	128	162	126	193
magician	53	0	3	2	1	4	2	1	2	2
magician	34	0	0	2	2	2	0	3	1	0
magician	15	0	0	1	1	3	0	1	2	0
magician	37	1	0	0	1	1	2	0	4	1
magician	57	0	2	1	0	9	1	1	0	0
magician	33	0	0	0	1	3	0	2	0	0
magician	843	10	16	21	37	23	17	27	27	18
magician	5118	116	176	120	212	193	153	215	216	196
magician	15	1	0	0	0	0	1	0	0	0
magician	31100	660	750	742	1061	1163	941	1106	1118	1162
magician	1841	44	55	40	73	95	75	69	70	82
magician	3025	80	131	93	123	125	90	136	138	130
magician	80	2	3	1	5	6	2	8	2	3
magician	1580	54	65	50	73	86	80	72	72	56
magician	13887	490	550	443	648	697	572	607	605	495
magician	1318	31	36	42	48	58	34	38	52	42
magician	20193	357	597	477	825	776	637	805	692	814
magician	161	6	3	4	4	4	3	4	3	6
manager	13	0	9	2	0	0	0	1	0	0
manager	43	2	3	0	6	2	0	3	2	0
manager	43	5	0	4	5	2	2	7	5	4
manager	12	1	2	0	0	0	0	0	1	1
manager	10	0	0	10	0	0	0	0	0	0
factory manager	33	0	0	0	0	0	0	0	1	0
factory manager	149	5	0	0	0	2	2	3	8	1
factory manager	153	3	2	5	3	5	6	0	3	5
factory manager	817	8	9	5	14	12	12	3	23	15
factory manager	82	1	5	5	3	1	0	0	2	1
factory manager	55	2	1	0	1	0	0	0	1	0
factory manager	73	1	1	2	1	1	1	1	2	0
factory manager	582	19	10	6	8	14	17	15	13	6
factory manager	31	0	0	0	1	4	2	0	1	0
factory manager	14	0	1	1	0	0	0	0	0	0
general manager	94	0	0	3	4	2	4	3	3	4
general manager	6999	61	80	110	164	87	129	117	162	114
general manager	6102	130	111	128	125	159	126	156	146	121
general manager	36132	612	773	673	816	821	741	764	782	777
general manager	1368	43	41	59	44	33	33	50	41	41
general manager	2134	53	38	42	46	56	62	46	44	32
general manager	21	0	0	2	0	0	0	1	0	0
general manager	733	19	17	21	17	17	29	17	21	10
general manager	50	0	0	0	0	0	2	3	1	2
general manager	14355	372	374	341	420	422	404	491	463	391
general manager	59	1	0	0	1	1	2	1	0	0
general manager	956	16	17	18	20	23	21	20	22	9
general manager	22	0	0	0	2	0	0	1	0	0
general manager	13	0	0	0	2	2	0	1	0	0
general manager	23	1	0	0	6	3	0	1	0	1
general manager	21	0	1	0	0	2	1	0	2	0
general manager	24	0	0	1	3	4	0	3	1	1
general manager	56	0	1	3	5	1	0	2	1	0
general manager	144	2	0	0	5	1	3	3	1	1
general manager	129	6	1	9	14	3	4	6	4	0
general manager	179	0	4	1	5	4	6	7	8	5
general manager	44	0	0	1	0	1	0	0	0	2
general manager	12	1	2	0	0	0	0	2	0	0
general manager	24	1	0	0	0	0	1	1	1	1
hotel manager	18	0	1	2	0	1	0	0	12	0
hotel manager	88	0	1	5	2	7	5	6	5	4
hotel manager	17	0	0	0	1	0	3	2	1	0
hotel manager	562	12	16	17	15	27	14	19	26	15
hotel manager	82	1	2	7	0	7	5	1	3	5
hotel manager	42	0	1	0	2	1	0	0	3	3
hotel manager	82	2	3	5	3	5	9	2	4	2
hotel manager	256	4	10	11	18	6	7	6	7	8
hotel manager	22	0	2	3	3	1	1	0	0	0
manager	3242	81	65	83	77	107	85	82	109	57
manager	1957	25	29	30	27	52	33	49	61	58
manager	593	19	26	12	14	25	19	13	26	22
manager	1738	51	52	82	80	91	106	103	89	64
manager	19383	240	205	293	433	312	310	417	380	557
manager	18503	260	292	307	322	475	415	435	526	756
manager	139	3	0	4	12	3	2	22	3	11
manager	157072	4176	4258	4755	5663	5837	5380	5423	6126	5492
manager	70975	2581	2147	2792	3548	4162	3235	3057	2907	2495
manager	19532	644	561	677	772	767	735	672	717	690
manager	138	4	7	10	11	12	9	16	3	2
manager	345463	12959	13798	17197	20900	21164	17732	18797	18734	14465
manager	20962	619	656	886	1008	1055	929	872	849	832
manager	1279	24	26	46	63	84	48	43	61	50
manager	39	1	0	1	0	1	2	7	1	2
manager	51	4	3	1	1	2	2	4	5	2
manager	76063	2084	2225	2525	3036	3097	2751	2751	2869	2717
manager	10	0	0	0	1	1	0	0	0	1
manager	601	7	14	10	14	18	18	23	27	19
manager	2892	60	52	62	67	56	58	56	46	75
manager	256	1	4	12	12	5	5	7	3	12
manager	26	1	0	1	1	1	1	0	0	1
manager	11	0	0	1	0	1	0	0	1	0
manager	27	0	0	0	0	1	1	4	1	1
manager	27	0	3	1	3	1	3	4	1	0
manager	23	0	0	0	7	1	1	0	0	0
manager	11	2	1	0	1	0	0	0	0	1
manager	40	0	0	1	3	5	2	3	2	4
manager	33	6	0	0	1	0	1	0	4	2
manager	43	4	2	2	4	7	1	0	0	2
manager	14	0	1	0	3	2	0	0	1	1
manager	13	0	0	1	0	0	3	0	0	0
manager	103	9	6	4	8	6	11	8	3	5
manager	10	0	0	0	3	0	0	2	1	0
manager	77	5	3	4	7	7	4	8	4	3
manager	22	8	2	2	1	0	0	2	0	0
manager	17	1	1	0	0	0	0	1	1	0
factory manager	69	0	2	1	1	1	2	4	2	0
factory manager	84	2	1	1	4	13	2	0	2	0
factory manager	2411	44	64	74	82	75	53	59	60	43
factory manager	84	2	0	0	2	2	0	1	6	2
factory manager	442	10	8	13	20	14	14	10	13	15
factory manager	103	4	1	4	4	0	1	3	5	0
factory manager	12	0	0	0	1	0	1	0	0	0
factory manager	2636	71	69	100	94	81	70	77	65	68
factory manager	420	5	8	17	18	9	11	8	6	6
factory manager	1945	40	30	66	43	48	27	41	36	21
general manager	39	0	0	0	0	3	1	2	0	1
general manager	144	3	1	3	3	3	6	4	3	5
general manager	429	23	13	20	19	25	11	10	18	11
general manager	4260	142	122	143	204	270	175	229	189	138
general manager	268	6	11	6	7	7	6	11	7	31
general manager	928	41	32	29	55	58	48	21	21	46
general manager	22	2	0	1	0	0	0	0	0	1
general manager	31	0	0	2	0	2	4	1	1	3
general manager	2905	136	109	110	152	149	133	117	173	147
general manager	483	15	25	15	19	30	18	13	30	16
general manager	3571	142	125	147	157	169	134	106	155	110
general manager	15	0	0	0	8	1	1	0	0	0
general manager	11	2	0	0	4	0	0	0	1	0
general manager	15	0	0	0	0	0	0	0	0	0
general manager	10	0	0	0	0	0	0	0	0	2
hotel manager	73	0	0	8	9	4	0	2	1	1
hotel manager	71	0	2	1	2	2	1	1	0	2
hotel manager	1086	41	28	54	58	50	36	56	35	37
hotel manager	32	0	2	4	5	2	2	0	0	1
hotel manager	187	6	8	14	4	9	14	14	12	7
hotel manager	10	0	3	1	0	0	0	1	0	0
hotel manager	13	0	1	0	0	0	0	0	0	0
hotel manager	1000	39	57	53	49	51	96	65	33	53
hotel manager	92	9	4	3	8	10	6	6	5	8
hotel manager	928	35	32	37	57	59	54	43	35	26
manager	1175	42	16	33	37	57	28	30	42	23
manager	16	1	0	0	0	1	3	0	0	0
manager	15	0	0	0	0	2	0	0	0	0
manager	48	1	1	1	0	5	2	1	3	2
manager	4437	98	110	139	145	140	157	171	131	101
manager	14931	552	568	518	638	641	585	574	544	440
manager	13	0	0	1	1	1	0	1	0	1
manager	23	0	1	0	0	2	0	1	0	3
manager	387146	13865	14554	16667	19164	18427	18622	17684	17604	14121
manager	38966	1317	1385	1684	1796	1970	1852	1674	1621	1511
manager	110291	4499	4570	5424	6088	6534	6228	5717	5786	4705
manager	11989	538	518	580	700	761	642	660	630	587
manager	45529	1721	1704	1915	2394	2258	2159	2173	2036	1747
manager	711314	31118	31715	38187	41137	44289	41507	38729	38332	34149
manager	62019	2557	2600	3030	3113	3276	3119	2937	2993	2414
manager	14	1	1	3	0	0	0	0	1	1
manager	351722	12601	12830	14902	16197	16851	16209	15040	15085	12696
manager	383	16	14	13	15	7	12	8	17	14
manicurist	10	0	0	0	0	0	0	4	1	1
manicurist	61	2	3	8	2	4	4	2	0	0
manicurist	14	0	0	0	4	0	1	0	1	0
manicurist	866	16	29	27	46	42	49	37	41	38
manicurist	143	5	10	6	4	7	7	5	6	2
manicurist	26	0	3	1	0	2	0	0	0	0
manicurist	263	4	15	9	13	29	14	13	14	14
manicurist	14	0	0	2	0	1	2	1	1	0
manicurist	72	5	3	3	3	2	1	4	3	2
manicurist	12	0	1	1	0	0	0	0	0	0
manicurist	82	3	1	0	4	1	2	1	0	2
manicurist	37	0	1	0	4	4	1	2	1	0
manicurist	1463	33	48	41	45	34	38	54	36	30
manicurist	35	1	2	1	2	3	1	0	0	2
manicurist	64	2	0	4	2	2	3	2	1	4
manicurist	59	2	0	1	2	1	0	1	4	2
manicurist	163	9	11	6	3	13	7	4	9	0
manicurist	21	0	0	1	1	0	1	0	5	1
manicurist	277	12	9	3	9	21	15	17	11	12
mathematician	64	1	0	5	1	0	0	0	8	1
mathematician	28	0	3	0	7	0	1	0	0	0
mathematician	46	0	1	1	0	1	0	0	0	1
mathematician	278	13	8	2	10	7	8	6	6	4
mathematician	6180	63	95	79	107	78	107	129	123	163
mathematician	132	4	1	4	2	7	1	7	6	13
mathematician	18	0	0	1	1	0	0	0	1	1
mathematician	40762	1078	988	983	1139	1143	1069	1246	1264	1251
mathematician	3058	103	90	106	94	79	67	83	100	109
mathematician	860	13	22	21	19	30	13	33	21	32
mathematician	68596	3008	2933	3061	3119	3136	2649	2938	2883	2473
mathematician	592	3	29	13	15	15	7	17	17	10
mathematician	66	3	0	2	3	2	0	0	1	1
mathematician	12	0	1	0	0	1	1	0	0	1
mathematician	1648	46	47	44	59	39	32	48	57	64
mathematician	58	2	3	3	0	2	1	0	0	1
mathematician	20	0	0	0	0	0	0	0	1	1
mathematician	24	1	0	0	1	0	0	0	0	3
mathematician	65	2	1	0	0	1	0	0	1	2
mathematician	854	19	14	26	32	18	17	15	19	19
mathematician	4046	73	89	99	129	107	96	115	141	165
mathematician	44957	1274	1103	1356	1532	1437	1356	1456	1436	1432
mathematician	2441	84	70	77	59	78	61	80	103	73
mathematician	6513	253	221	245	254	269	222	211	237	202
mathematician	278	22	3	7	22	10	8	7	9	12
mathematician	2163	71	53	61	71	88	64	92	119	67
mathematician	65174	2248	2412	2423	2562	2520	2058	2633	2716	2472
mathematician	3571	93	94	106	119	97	112	135	131	131
mathematician	50857	1513	1359	1446	1567	1466	1415	1641	1808	1720
mathematician	10	0	0	0	0	0	0	0	0	0
mathematician	58	1	2	4	2	1	0	3	5	2
mayor	252	3	1	0	7	3	7	4	7	14
mayor	3563	66	114	119	130	106	110	120	123	113
mayor	558	10	15	14	19	10	23	18	9	22
mayor	430	8	10	9	14	26	15	10	14	11
mayor	11382	86	74	107	111	130	94	242	214	285
