ROLE NOUN	TOTAL	2000	2001	2002	2003	2004	2005	2006	2007	2008
acrobat	5606	134	107	123	120	138	179	150	198	215
political activist	631	25	26	45	29	27	63	20	25	18
political activist	23	1	0	0	1	3	0	1	0	3
political activist	4809	195	226	233	275	261	308	266	277	210
political activist	212	10	4	4	6	9	6	17	16	8
political activist	173	9	9	13	6	12	5	9	14	5
political activist	65	4	5	5	1	1	1	5	2	5
political activist	659	25	24	25	32	35	25	17	25	19
political activist	11	1	0	0	0	1	1	3	0	1
political activist	20	0	1	2	0	2	0	7	0	0
political activist	11	0	1	0	0	2	0	1	0	0
political activist	13	3	0	0	0	1	0	0	0	0
political activist	209	7	8	10	7	11	5	6	12	13
political activist	2850	110	101	95	133	108	132	128	107	65
political activist	9417	504	409	474	510	489	542	530	519	370
political activist	281	16	14	13	20	19	15	10	14	5
political activist	1728	70	103	88	80	78	99	66	76	62
political activist	34	4	3	1	0	0	4	1	1	0
political activist	14	2	1	0	4	0	0	0	1	0
political activist	3407	142	142	154	197	143	154	199	172	81
political activist	368	23	13	16	9	19	17	12	18	18
political activist	9610	387	398	455	393	433	389	412	406	261
political activist	11	1	1	0	0	1	3	0	1	1
political activist	11	0	1	2	0	3	0	0	0	0
political activist	24	0	0	1	5	0	3	2	1	0
political activist	24	5	1	2	2	0	0	0	0	0
acupuncturists	55	4	2	3	4	0	4	1	0	4
acupuncturists	812	48	59	78	52	52	62	59	52	41
acupuncturists	104	2	18	8	4	6	13	5	5	8
acupuncturists	45	2	3	7	4	2	3	2	1	2
acupuncturists	382	21	22	26	29	20	47	41	28	17
acupuncturists	18	2	1	0	0	1	1	1	1	0
acupuncturists	49	4	7	2	5	2	7	2	3	1
acupuncturists	56	8	3	3	4	11	3	4	0	2
acupuncturists	38	1	1	2	1	3	0	4	2	1
acupuncturists	2113	121	143	143	122	152	160	139	115	109
acupuncturists	76	2	6	3	3	8	11	3	3	0
acupuncturists	302	12	24	11	24	23	32	19	12	1
acupuncturists	41	2	1	6	2	1	5	7	0	2
acupuncturists	1583	105	128	84	77	103	118	87	81	71
acupuncturists	220	9	51	15	12	12	11	12	15	6
acupuncturists	1043	54	56	67	82	77	53	58	49	72
drug addict	11	0	0	0	0	1	1	0	0	0
drug addict	26	0	1	1	0	2	1	0	0	1
drug addict	149	1	5	6	5	11	12	6	9	5
drug addict	54	0	1	0	2	3	12	5	2	5
drug addict	1494	60	63	86	62	60	94	63	75	53
drug addict	180	5	11	9	7	5	7	7	9	5
drug addict	198	7	8	10	7	16	12	23	8	9
drug addict	100	0	3	1	5	5	4	5	6	2
drug addict	11	1	0	2	3	1	0	0	0	0
drug addict	414	16	4	13	18	11	19	16	23	10
drug addict	22	0	0	0	1	0	3	0	0	0
drug addict	92	7	0	2	7	8	2	5	2	2
drug addict	23	0	1	4	0	0	1	0	0	0
drug addict	39	0	1	2	0	0	2	0	0	2
drug addict	173	3	5	10	4	2	3	2	2	1
drug addict	47	1	1	1	1	1	0	0	1	0
drug addict	573	14	20	22	24	20	28	26	28	18
drug addict	3982	123	151	178	172	171	164	201	153	139
drug addict	19134	567	669	702	775	846	827	823	718	551
drug addict	557	15	9	15	14	11	10	25	23	21
drug addict	3239	109	126	150	142	147	138	146	111	105
drug addict	65	4	1	7	3	2	2	0	0	5
drug addict	17	2	1	0	0	5	1	0	2	0
drug addict	5520	214	201	247	247	220	264	235	207	183
drug addict	1098	42	49	35	35	31	36	41	34	31
drug addict	20028	537	560	654	694	621	654	581	585	373
drug addict	14	0	0	0	1	0	0	0	0	0
database administrator	18	1	0	0	1	1	4	2	0	0
database administrator	25	2	0	1	0	2	2	3	3	0
database administrator	564	24	27	58	40	50	19	41	49	54
database administrator	196	9	27	29	11	17	14	9	10	6
database administrator	26	0	0	2	1	2	0	2	4	2
database administrator	35	1	1	4	6	1	0	2	3	4
database administrator	182	9	3	22	9	17	16	13	13	3
database administrator	10	0	0	0	1	0	0	0	0	4
database administrator	25	2	0	4	1	4	4	1	7	0
database administrator	19	0	1	7	0	1	0	0	1	0
database administrator	17	0	0	5	0	0	0	3	0	5
database administrator	1588	71	113	150	125	173	118	130	139	105
database administrator	74	5	6	12	4	5	7	5	8	7
database administrator	198	4	19	21	9	25	17	14	15	15
database administrator	28	2	0	5	1	2	2	3	5	2
database administrator	1336	78	119	102	121	201	75	82	111	124
database administrator	98	12	6	5	17	17	3	7	6	3
database administrator	824	22	57	74	83	90	56	55	88	63
admiral	130	4	3	1	1	0	0	2	7	9
admiral	276	0	4	0	1	3	5	0	5	12
admiral	359	4	14	7	10	9	6	10	3	16
admiral	290	5	2	1	2	3	3	7	5	5
admiral	6620	23	110	51	53	50	44	93	80	144
admiral	2468	22	36	23	33	65	25	49	56	114
admiral	107	2	2	4	4	7	0	5	4	6
