Concept	PROP_W	TOTAL_GEN_FREQ
aymara [men/male/women/female]	0.9006211180124224	805
azerbaijani [men/male/women/female]	0.8381147540983607	488
malagasy [men/male/women/female]	0.7956989247311828	930
malawian [men/male/women/female]	0.7832009080590239	881
malay [men/male/women/female]	0.7694369973190348	6341
malaysian [men/male/women/female]	0.8605906637027628	3149
maldivian [men/male/women/female]	0.8095238095238095	315
somali [men/male/women/female]	0.7553656043853944	10763
malian [men/male/women/female]	0.7882513661202186	732
puerto rican [men/male/women/female]	0.8159719389836039	12259
punjabi [men/male/women/female]	0.6451860375911009	2607
estonian [men/male/women/female]	0.6529992406985573	1317
bahraini [men/male/women/female]	0.9197080291970803	1370
manchu [men/male/women/female]	0.7986829727187206	1063
mandinka [men/male/women/female]	0.6453900709219859	141
hispanic [men/male/women/female]	0.7105667609054513	52703
ethiopian [men/male/women/female]	0.8702018203403245	5054
qatari [men/male/women/female]	0.8592870544090057	1599
bambara [men/male/women/female]	0.6410256410256411	117
european [men/male/women/female]	0.67245892931669	79071
south african [men/male/women/female]	0.8085733882030178	14580
south american [men/male/women/female]	0.7084717607973422	1204
bangladeshi [men/male/women/female]	0.7712865133623369	9654
south asian [men/male/women/female]	0.8314851384880247	19749
south korean [men/male/women/female]	0.6621951219512195	3280
south sudanese [men/male/women/female]	0.7933673469387755	392
southeast asian [men/male/women/female]	0.811769991015274	2226
hmong [men/male/women/female]	0.7623164763458401	6130
barbadian [men/male/women/female]	0.7408	625
quechua [men/male/women/female]	0.7758620689655172	638
spanish [men/male/women/female]	0.6813564172270711	27956
basotho [men/male/women/female]	0.6951219512195121	1148
basque [men/male/women/female]	0.6112531969309463	1173
batak [men/male/women/female]	0.6920152091254753	263
honduran [men/male/women/female]	0.8110979929161747	847
hong kong [men/male/women/female]	0.7075180226570545	2913
omani [men/male/women/female]	0.7642323174238068	1739
uruguayan [men/male/women/female]	0.8845360824742268	485
oneida [men/male/women/female]	0.7654320987654321	648
ute [men/male/women/female]	0.6549364613880743	1023
uzbek [men/male/women/female]	0.8107923497267759	2928
sri lankan [men/male/women/female]	0.8461891643709826	2178
belarusian [men/male/women/female]	0.7749077490774908	271
belgian [men/male/women/female]	0.7466514676546024	3509
costa rican [men/male/women/female]	0.6409550045913682	1089
belizean [men/male/women/female]	0.7520325203252033	246
bemba [men/male/women/female]	0.7733333333333333	225
bengali [men/male/women/female]	0.7452988270340719	5371
berber [men/male/women/female]	0.9000857632933105	2332
venezuelan [men/male/women/female]	0.873794916739702	1141
hungarian [men/male/women/female]	0.8106977767994717	4543
bhutanese [men/male/women/female]	0.7130584192439863	582
vietnamese [men/male/women/female]	0.786208239992208	20534
iban [men/male/women/female]	0.6118721461187214	219
oromo [men/male/women/female]	0.8176229508196722	488
icelandic [men/male/women/female]	0.7230886268543172	2629
cree [men/male/women/female]	0.7281308999370674	1589
igbo [men/male/women/female]	0.8219927095990279	4938
croat [men/male/women/female]	0.7005758157389635	521
croatian [men/male/women/female]	0.7881640887693342	1487
faroese [men/male/women/female]	0.75	196
mapuche [men/male/women/female]	0.7345924453280318	1006
cuban [men/male/women/female]	0.7774606539998369	12263
marshallese [men/male/women/female]	0.7627627627627628	333
martinican [men/male/women/female]	0.7386363636363636	264
cypriot [men/male/women/female]	0.7669801462904912	1914
czech [men/male/women/female]	0.8199701195219123	4016
warlpiri [men/male/women/female]	0.7286995515695067	892
dane [men/male/women/female]	0.7272727272727273	429
danish [men/male/women/female]	0.6091594827586206	9280
mauritian [men/male/women/female]	0.8390092879256966	646
maya [men/male/women/female]	0.8112464183381088	5584
sudanese [men/male/women/female]	0.8257701648983766	7823
