ID	HEADING	CLEANED	LANGUAGE	LCC	TYPE	YEAR_ADDED	YEAR_REVISED	BT	NT	SYNONYMS	YEAR_DEPRECATED	FORMER_HEADINGS	DELETION_NOTE	GENDER	GENDER_WORD
sh2008000329	_Kēḷike	kēḷike	en	None	Topic	2008	None	None	None	None	2013-07-08T13:07:33	None	This authority record has been deleted because the heading is covered by the subject heading {Yakṣagāna} (sh 85148928).		
sh2008001573	_Food journalists	food journalists	en	None	Topic	2008	None	None	None	None	2009-08-26T07:59:11	None	This authority record has been deleted because the heading is covered by the subject heading {Food writers} (sh 87002723).		
sh2008002015	_African American HIV-positive persons	african american hiv positive persons	en	None	Topic	2008	None	None	None	None	2012-04-10T11:05:47	None	This authority record has been deleted because the heading is covered by the subject heading {HIV-positive persons--United States} (sh2008003694).		
sh2008002554	_Illegal alien children	illegal alien children	en	None	Topic	2008	None	None	None	None	2021-11-23T14:39:03	None	This authority record has been deleted because the heading is covered by {Noncitizen children} (DLC)2016000743 and {Illegal immigration} (DLC)2016000739		
sh2008002716	_High school football players	high school football players	en	None	Topic	2008	None	None	None	None	2013-09-05T17:27:41	None	This authority record has been deleted because the heading is covered by the subject headings {Football players} (sh 85050420) and {High school athletes} (sh 93002114).		
sh2008003962	_Cell phones as musical instruments	cell phones as musical instruments	en	None	Topic	2008	None	None	None	None	2013-03-12T13:46:59	None	This authority record has been deleted because the heading is no longer valid.		
sh2008003981	_Tambūrā (Drone lute) ensembles	tambūrā ( drone lute ) ensembles	en	None	Topic	2008	None	None	None	None	2012-07-30T13:47:59	None	This authority record has been deleted because it is covered by the subject heading Tambūrā (Fretted lute) ensembles (sh2009001802).		
sh2008005208	_Slide-and-peek books	slide and peek books	en	None	Topic	2008	None	None	None	None	2011-12-01T13:30:13	None	This authority record has been deleted because the heading is covered by the subject heading {Toy and movable books} (sh 85136346).		
sh2008005769	_OpenMP	openmp	en	None	Topic	2008	None	None	None	None	2017-12-14T12:45:24	None	This authority record has been deleted because the subject heading is covered by the name heading {OpenMP (Application program interface)} (DLC)n 2017050103		
sh2008006517	_Tamajaq language	tamajaq language	en	None	Topic	2008	None	None	None	None	2009-12-15T14:05:56	None	This authority record has been deleted because the heading is covered by the subject heading {Tamashek language} (sh 85132166).		
sh2008006653	_In rabbinical literature	in rabbinical literature	en	None	Topic	2008	None	None	None	None	2009-01-15T10:25:53	None	This subdivision authority record has been deleted because the subdivision is replaced by headings of the type [personal name]--In rabbinical literature, for which individual subject authority records are made.		
sh2008007279	_Computer games industry	computer games industry	en	None	Topic	2008	None	None	None	None	2023-01-23T12:01:15	None	This authority record has been deleted because the heading is covered by the subject heading {Video games industry} (DLC)sh2006005259		
sh2008111615	_Shīʻahiterature	shīʻahiterature	en	None	Topic	2008	None	None	None	None	2010-07-12T10:01:48	None	This authority record has been deleted because it is incorrectly formulated.		
sh2008117775	_Gardensns	gardensns	en	None	Topic	2008	None	None	None	None	2009-08-07T15:31:18	None	None		
sh2008118050	_German languaged phrase books	german languaged phrase books	en	None	Topic	2008	None	None	None	None	2009-09-16T07:47:16	None	This authority record has been deleted because it is an invalid construction.		
sh2008118782	_Educational changestudies	educational changestudies	en	None	Topic	2008	None	None	None	None	2009-02-19T11:21:11	None	This authority record has been deleted because it is covered by the subject heading {Educational change--Cross-cultural studies} (sh2009100104).		
sh2008121617	_Hinduismiterature	hinduismiterature	en	None	Topic	2008	None	None	None	None	2010-05-12T13:07:30	None	This authority record has been deleted because it is covered by the subject heading {Hinduism in literature} (sh 95004056).		
sh2008123407	_Industrial managementstudies	industrial managementstudies	en	None	Topic	2008	None	None	None	None	2009-12-03T09:46:20	None	None		
sh2009000387	_Hybrid electric airplanes	hybrid electric airplanes	en	None	Topic	2009	None	None	None	None	2018-09-11T08:04:22	None	This authority record has been deleted because the heading is covered by the subject headings {Electric airplanes} (DLC)sh2018001858 and {Hybrid airplanes} (DLC)sh2018001760		
sh2009000695	_Folk songs, Neapolitan Italian	neapolitan italian folk songs	en	None	Topic	2009	None	None	None	None	2009-04-02T08:25:47	None	None		
sh2009000936	_Nihonga	nihonga	en	None	Topic	2009	None	None	None	None	2010-02-02T16:28:49	None	This authority record has been deleted because the heading is covered by the subject heading {Painting, Japanese} (sh 85096760).		
sh2009001590	_Nutcrackers (Birds)	nutcrackers ( birds )	en	None	Topic	2009	None	None	None	None	2009-04-07T10:31:12	None	This authority record has been deleted because it is covered by an identical subject heading (sh2009001247).		
sh2009001631	_Elok (Orangutan)	elok ( orangutan )	en	None	Topic	2009	None	None	None	None	2014-03-28T16:37:21	None	This authority record has been deleted because the subject heading is covered by the name heading {Elok (Orangutan), 2000-} (no2014001983).		
sh2009001797	_Illegal aliens in literature	illegal aliens in literature	en	None	Topic	2009	None	None	None	None	2021-11-23T14:39:03	None	This authority record has been deleted because the heading is covered by the subject headings {Noncitizens in literature} (DLC)sh 85003558 and {Illegal immigration in literature} (DLC)sh2016000742		
sh2009003134	_Kykkotissa (Icon)	kykkotissa ( icon )	en	None	Topic	2009	None	None	None	None	2010-06-08T12:27:27	None	This authority record has been deleted because the subject heading is covered by an identical name heading (n 2009081141).		
sh2009003238	_Folk literature, Balkar	balkar folk literature	en	None	Topic	2009	None	None	None	None	2016-06-02T12:45:38	None	This authority record has been deleted because the heading is covered by the subject heading {Folk literature, Karachay-Balkar} (DLC)sh2016000772		
sh2009005168	_Kūttu (Dance)	kūttu ( dance )	en	None	Topic	2009	None	None	None	None	2009-06-02T14:27:42	None	This authority record has been deleted because it was not approved, but was mistakenly distributed.		
sh2009005835	_Notarchidae	notarchidae	en	None	Topic	2009	None	None	None	None	2011-11-15T14:29:15	None	This authority record has been deleted because the heading is covered by the subject heading {Aplysiidae} (sh 88020909).		
sh2009008279	_Superhero comic books, strips, etc.	strips superhero comic books etc	en	None	Topic	2009	None	None	None	None	2011-07-18T13:08:10	None	This authority record has been deleted because the heading is replaced by the heading {Superheroes--Comic books, strips, etc.,} a heading for which a subject authority record is not made because it uses a free-floating subdivision.		
sh2009008743	_Core animation (Application development environment)	core animation ( application development environment )	en	None	Topic	2009	None	None	None	None	2017-12-14T12:45:18	None	This authority record has been deleted because the subject heading is covered by the name heading {Core Animation (Graphics software framework)} (DLC)n 2017042078		
sh2010000014	_Utilization	utilization	en	None	Topic	2010	None	None	None	None	2010-04-16T07:36:29	None	This authority record has been deleted because the subdivision is covered by an identical subdivision record (sh2002006428).		
sh2010000750	_Atlases, Filipino	filipino atlases	en	None	Topic	2010	None	None	None	None	2013-05-02T14:04:45	None	This authority record has been deleted because the heading is covered by the subject heading {Atlases, Philippine} (sh2010013277).		
sh2010001009	_Zaar dialect	zaar dialect	en	None	Topic	2010	None	None	None	None	2019-10-04T13:41:09	None	This authority record has been deleted because the heading is covered by the subject heading {Saya language} (DLC) sh2010001002		
sh2010001789	_College football players	college football players	en	None	Topic	2010	None	None	None	None	2014-07-14T11:21:43	None	This authority record has been deleted because the heading is covered by the subject headings {College athletes} (sh 86000158) and {Football players} (sh 85050420).		
sh2010002599	_Evil in art	evil in art	en	None	Topic	2010	None	None	None	None	2017-10-13T11:44:11	None	This authority record has been deleted because the heading is covered by the subject heading {Good and evil in art} (DLC)sh 85055877		
sh2010004819	_Effect of water currents on	effect of water currents on	en	None	Topic	2010	None	None	None	None	2010-11-02T14:29:02	None	This authority record has been deleted because it is covered by an identical subject heading (sh2006003900).		
sh2010006888	_Indian HIV-positive women	indian hiv positive women	en	None	Topic	2010	None	None	None	None	2012-04-10T11:07:00	None	This authority record has been deleted because the heading is covered by the subject heading {HIV-positive women--United States} (sh2005008292).	W	women
sh2010009427	_Hungarian students	hungarian students	en	None	Topic	2010	None	None	None	None	2010-11-02T14:38:46	None	This authority record has been deleted because it is covered by an identical subject heading (sh 85063013).		
sh2010009448	_Helicopter accidents	helicopter accidents	en	None	Topic	2010	None	None	None	None	2010-10-21T09:50:07	None	This authority record has been deleted because the heading is covered by the subject heading {Helicopters--Accidents} (sh2007010556).		
sh2010010085	_War comic books, strips, etc.	strips war comic books etc	en	None	Topic	2010	None	None	None	None	2011-07-18T13:08:56	None	This authority record has been deleted because the heading is replaced by the heading {War--Comic books, strips, etc.,} a heading for which a subject authority record is not made because it uses a free-floating subdivision.		
sh2010010911	_Spy comic books, strips, etc.	strips spy comic books etc	en	None	Topic	2010	None	None	None	None	2011-07-18T13:06:08	None	This authority record has been deleted because the heading is replaced by the heading {Spies--Comic books, strips, etc.,} a heading for which a subject authority record is not made because it uses a free-floating subdivision.		
sh2010011375	_Gender mainstreaming in biodiversity conservation	gender mainstreaming in biodiversity conservation	en	None	Topic	2010	None	None	None	None	2012-06-14T07:57:17	None	This authority record has been deleted because it is covered by the subject headings {Gender mainstreaming} (sh2007004981) and {Biodiversity conservation} (sh 87005570).		
sh2010011974	_Concentration camp inmates as athletes	concentration camp inmates as athletes	en	None	Topic	2010	None	None	None	None	2021-07-20T08:25:21	None	This authority record has been deleted because the heading is covered by the subject headings {Internment camp inmates as athletes} (DLC)sh2021004042 and {Nazi concentration camp inmates as athletes} (DLC)sh2021004043		
sh2010012217	_Cooking, Costa Rican	costa rican cooking	en	None	Topic	2010	None	None	None	None	2010-11-02T13:38:42	None	This authority record has been deleted because it is covered by an identical subject authority record (sh 93000059).		
